object_id,title,description,date_created,artist_maker,materials_techniques,dimensions,department,acquisition,period,culture,provenance,references,location,url
69042,Lekanis: GR.21.1929,"Lekanis, siren, animal frieze",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69042
65631,Cup: GR.50.1864,"Cup, I, athlete, A and B, athletes",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65631
65616,Hydria: GR.35.1864,"Hydria, (A) Athena in chariot, Apollo and Dionysos, (B) assembly of gods and goddesses",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65616
65604,Neck-amphora: GR.23.1864,"Neck-amphora, centauromachy, gigantomachy",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65604
69614,Amphora: GR.9.1955,"Nolan amphora, (A) Dionysos and maenad, (B) youth with torch",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69614
70284,Pyxis: GR.38.1982,Pyxis,,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/70284
65699,Lekythos: GR.118.1864,"Lekythos, Nike",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65699
111028,Kylix: GR.1.2004,"Red-figured cup: on one side Dionysos with a pair of satyrs, on the other side two satyrs pursuing a maenad",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/111028
89339,Squat lekythos: Loan Ant.103.26,"Squat lekythos, Aphrodite, Eros and bride",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/89339
69677,Amphora: GR.3.1962,"Nikosthenic amphora, (A) boxers and trainers, (B) men, youth and woman dancing",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69677
67145,Oinochoe: GR.59.1896,"Oinochoe, warriors, animal frieze",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67145
67146,Aryballos: GR.60.1896,"Aryballos, lion, swan",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67146
65606,Hydria: GR.25.1864,"Hydria, with men and women, cocks",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65606
69306,Cup: GR.17.1937,"Cup, (A) satyrs and chariot race, (B) satyrs riding wineskins, (I) satyr and krater",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69306
89331,Cup: Loan Ant.103.18,"Cup, symposium",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/89331
67153,Alabastron: GR.67.1896,"Alabastron, woman's head",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/67153
68670,Pelike: GR.9.1917,"Pelike, (A) pigs, swineherd and Odysseus (?), (B) man and youth",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68670
69312,Amphora: GR.23.1937,"Nolan amphora, (A) Zeus and Ganymede with hoop (B) old man with staff",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69312
69127,Pyxis: GR.1.1933,"Pyxis, the Nereids, dolphin, draped man with staff",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69127
69297,Oinochoe: GR.8.1937,"Oinochoe, Hermes conducting Athena, Hera and Aphrodite to Paris",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69297
68990,Hydria: GR.7.1928,"Hydria, Apollo, Hermes, Artemis and Leto, pouring libations",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/68990
65633,Lekythos: GR.52.1864,"Lekythos, chariot-race",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65633
65614,Hydria: GR.33.1864,"Hydria, charging chariots, Herakles and Triton",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65614
65625,Lip cup: GR.44.1864,"Lip cup, Little Master, fighting cockerels, with nonsense inscriptions",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65625
69110,Cup: GR.11.1932,"Cup, youth and boy, youths in gymnasium",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/69110
65620,Eye cup: GR.39.1864,"Eye-cup, (A) maenad, Dionysos, (I) gorgoneion",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/65620
89338,Stemless cup: Loan Ant.103.25,"Stemless cup, head of Orpheus uttering oracles; A: the head of Orpheus giving oracles, under the direction of Apollo, to a seated youth who takes them down with a stilus and tablets; B: a Muse with a lyre, another stands by with a taenia",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/89338
89332,Skyphos: Loan Ant.103.19,"Skyphos, Eos carrying off Tithonos; A: goddess running off with youth who holds a large lyre, B: two youths in attitudes of alarm (one holds a double flute)",,,,,,,,,,,,https://data.fitzmuseum.cam.ac.uk/id/object/89332
