url,title,museum_number
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38797,Attic black figure eye cup,NM47.3
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41176,Lucanian red figure nestoris,NM46.46.1-2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37551,Attic red figure chous,NM46.49
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.31332,Apulian red figure oinochoe,NM52.60
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.39752,Apulian red figure bell krater,NM46.48
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.41177,Lucanian oinochoe,NM98.79
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38437,Campanian bell krater,NM69.10
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.48450,Apulian red figure lebes gamikos,NM97.177
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38678,Apulian red figure bell krater,NM47.5
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.9479,Attic Black-figured neck amphora,NM2018.136
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.36428,Lucanian red figure bell krater,NM48.2
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.37978,Attic black figure lip cup,NM98.17
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38792,Attic black figure olpe,NM48.257
https://www.sydney.edu.au/museums/collections_search?record=ecatalogue.38316,Paestan bell krater,NM42.2
